Date,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,TotalTime
01/06/2012,Friday,Home,51.29,127.4,78.3,39.3
01/06/2012,Friday,Work,51.63,130.3,81.8,37.9
01/04/2012,Wednesday,Home,51.27,127.4,82,37.5
01/04/2012,Wednesday,Work,49.17,132.3,74.2,39.8
01/03/2012,Tuesday,Home,51.15,136.2,,36.8
01/03/2012,Tuesday,Work,51.8,135.8,84.5,36.8
01/02/2012,Monday,Home,51.37,123.2,82.9,37.2
01/02/2012,Monday,Work,49.01,128.3,77.5,37.9
12/23/2011,Friday,Work,52.91,130.3,80.9,39.3
12/22/2011,Thursday,Home,51.17,122.3,70.6,43.5
12/22/2011,Thursday,Work,49.15,129.4,,39.8
12/21/2011,Wednesday,Work,51.77,124.8,71.7,43.3
12/20/2011,Tuesday,Home,51.45,130.1,,41.1
12/20/2011,Tuesday,Work,49.01,119,77.4,38
12/19/2011,Monday,Home,51.04,132.2,,39.5
12/19/2011,Monday,Work,52,137.8,,40.8
12/16/2011,Friday,Home,51.05,128.4,86.9,35.2
12/16/2011,Friday,Work,49.04,124.6,71.1,41.4
12/15/2011,Thursday,Home,51.06,126.9,80.5,38.1
12/15/2011,Thursday,Work,51.68,123.5,68.1,45.6
12/14/2011,Wednesday,Home,51.04,123.4,75.1,40.8
12/14/2011,Wednesday,Work,51.67,123.5,76.6,40.5
12/13/2011,Tuesday,Home,51.15,130.6,,41
12/13/2011,Tuesday,Work,49.19,126.1,65.4,45.1
12/12/2011,Monday,Work,49.02,126.1,65.7,44.8
12/09/2011,Friday,Home,51.14,126.8,87.3,35.2
12/09/2011,Friday,Work,51.69,128.4,,41.9
12/08/2011,Thursday,Home,51.07,125,74.6,41.1
12/08/2011,Thursday,Work,51.63,134.4,,40.5
12/07/2011,Wednesday,Home,51.1,126.5,79.9,38.4
12/07/2011,Wednesday,Work,51.64,124.6,73.6,42.1
12/06/2011,Tuesday,Home,51.25,123.5,77.3,39.8
12/06/2011,Tuesday,Work,51.64,122.3,69.3,44.7
12/05/2011,Monday,Home,50.18,124,71,42.4
12/01/2011,Thursday,Home,51.55,129.6,74.2,41.7
12/01/2011,Thursday,Work,51.38,124.6,80.1,38.5
11/30/2011,Wednesday,Home,51.09,128.7,71.5,42.9
11/30/2011,Wednesday,Work,51.71,125.6,76.3,40.7
11/29/2011,Tuesday,Home,51,121.4,68.4,44.7
11/29/2011,Tuesday,Work,51.74,112.2,55.3,56.2
11/28/2011,Monday,Home,51.05,128.2,72.4,42.3
11/28/2011,Monday,Work,51.63,127.1,71,43.6
11/24/2011,Thursday,Home,51.49,126.6,74,41.8
11/24/2011,Thursday,Work,51.69,124.9,73.3,42.3
11/23/2011,Wednesday,Home,60.32,129.4,,52.5
11/23/2011,Wednesday,Work,51.6,126.4,67.3,46
11/22/2011,Tuesday,Home,51.49,129.6,78.6,39.3
11/22/2011,Tuesday,Work,51.65,128.6,76.1,40.7
11/21/2011,Monday,Home,51.31,123.1,60.9,50.6
11/21/2011,Monday,Work,52.25,127.3,38.1,82.3
11/17/2011,Thursday,Home,51.16,127.6,72.4,42.4
11/17/2011,Thursday,Work,51.67,127,70.9,43.7
11/16/2011,Wednesday,Home,51.12,125.1,65,47.2
11/16/2011,Wednesday,Work,51.7,129.8,,42.3
11/15/2011,Tuesday,Home,51.06,122.8,61.4,49.9
11/15/2011,Tuesday,Work,51.5,127.6,70.5,43.8
11/14/2011,Monday,Home,51.06,119.5,64.4,47.6
11/14/2011,Monday,Work,51.66,126.4,55.2,56.1
11/10/2011,Thursday,Home,51.07,129.8,75.2,40.8
11/10/2011,Thursday,Work,51.68,132.5,69.8,44.4
11/09/2011,Wednesday,Home,51.28,121.4,65.9,46.7
11/09/2011,Wednesday,Work,51.79,127.5,65.6,47.3
11/08/2011,Tuesday,Home,50.75,131.3,,34.3
11/08/2011,Tuesday,Work,51.82,126.8,66.1,47
11/07/2011,Monday,Home,51.06,127.4,80.4,38.1
11/07/2011,Monday,Work,51.62,125.4,74.9,41.4
11/04/2011,Friday,Home,51.03,128.4,,37.2
11/04/2011,Friday,Work,51.81,130.2,82.1,37.9
11/03/2011,Thursday,Home,51.07,130.3,,40.4
11/03/2011,Thursday,Work,51.83,133,,38.6
11/02/2011,Wednesday,Home,51.27,121.5,75.1,41
11/02/2011,Wednesday,Work,51.83,129.3,,42.9
11/01/2011,Tuesday,Work,51.74,129.7,71.8,43.2
10/31/2011,Monday,Home,51.06,125,76.4,40.1
10/31/2011,Monday,Work,50.58,125,104.4,29.1
10/28/2011,Friday,Home,51.28,120.5,83,37.1
10/27/2011,Thursday,Work,51.77,125.6,82.4,37.7
10/26/2011,Wednesday,Work,51.75,127.9,74.6,41.6
10/25/2011,Tuesday,Home,52.87,123.5,65.1,48.7
10/25/2011,Tuesday,Work,51.75,127.4,72.1,43.1
10/24/2011,Monday,Home,51.06,126.5,71.6,42.8
10/21/2011,Friday,Work,50.64,129,,28.5
10/20/2011,Thursday,Home,51.33,125.2,72.5,42.5
10/20/2011,Thursday,Work,51.74,124.5,68.9,45
10/19/2011,Wednesday,Home,51.3,126.2,63.4,48.6
10/19/2011,Wednesday,Work,51.68,130.2,75.7,41
10/18/2011,Tuesday,Home,51.36,133.1,69.5,44.4
10/18/2011,Tuesday,Work,51.74,130.8,80.8,38.4
10/17/2011,Monday,Home,51.3,127.3,78.6,39.1
10/17/2011,Monday,Work,50.61,137.1,93.7,32.4
10/13/2011,Thursday,Work,50.66,128.3,105.5,28.8
10/12/2011,Wednesday,Home,51.4,114.4,59.7,51.7
10/12/2011,Wednesday,Work,50.58,128.4,,51
10/11/2011,Tuesday,Home,51.52,135.1,67.3,46
10/11/2011,Tuesday,Work,48.94,130.8,85.7,34.3
10/07/2011,Friday,Home,51.02,124.8,80.4,38.1
10/07/2011,Friday,Work,50.68,128.3,,29.9
10/06/2011,Thursday,Home,51.29,126,73.3,42
10/06/2011,Thursday,Work,50.63,125.6,38.5,30.8
10/05/2011,Wednesday,Home,51.31,127.5,69.5,44.3
10/05/2011,Wednesday,Work,50.59,128.5,,29.4
