Tomato, 98, 120, 0.08
Onion, 80, 90, 0.07
Lettuce, 50, 80, 0.05
Cheese, 210, 200, 0.36
Lemon, 65, 64, 0.13
Coconut, 800, 120, 0.58
Apple, 158, 30, 0.17
Beef, 240, 120, 4.44
Pork, 240, 120, 3.88
Shrimp, 140, 80, 0.36
Bread, 122, 80, 0.1
Sugar, 713, 500, 0.02
Salt, 732, 500, 0.02
SoySauce, 180, 150, 0.05
Mayonnaise, 180, 100, 0.11
Tuna, 150, 50, 0.03
Chive, 300, 200, 0.06
Garlic, 118, 100, 0.04
ChiliPowder, 347, 200, 0.07
Cumin, 346, 200, 0.09
Paprika, 327, 200, 0.06
Cilantro, 346, 200, 0.08
Jalapeno, 347, 200, 0.13
BlackPepper, 397, 200, 0.16
Oil, 797, 500, 0.03
Honey, 444, 300, 0.02
Lime, 257, 140, 0.48
Pepper, 77, 50, 0.29
Corn, 74, 60, 0.27
ChickenBreast, 54, 40, 0.59
BlackBean, 87, 50, 0.17
Avocado, 57, 30, 0.63
Mushroom, 89, 50, 0.08
Carrot, 78, 40, 0.22
Thyme, 400, 200, 0.12
Butter, 196, 120, 0.41
Flour, 108, 90, 0.1
Cream, 246, 120, 0.23
Rice, 500, 300, 0.26
Wine, 500, 300, 0.46
Milk, 332, 300, 0.38
PizzaSauce, 177, 150, 0.08
Bacon, 180, 80, 0.38
Scallop, 90, 70, 2.28
Brie, 100, 80, 0.16
Jam, 90, 50, 0.38
Fig, 60, 40, 0.46
Pistachio, 120, 90, 0.89
Walnut, 60, 40, 0.71
Rib, 240, 80, 2.71
Paprika, 327, 200, 0.06
BarbecueSauce, 162, 150, 0.12
ChickenWing, 90, 60, 0.65
Noodle, 59, 40, 0.48
HotSauce, 180, 150, 0.08
Ham, 90, 70, 0.61
Oreo, 118, 60, 0.13
Chocolate, 221, 200, 0.33
Vanilla, 116, 80, 0.46
Almond, 119, 90, 0.91
Pecan, 119, 90, 1.11
Coffee, 70, 50, 1.21
Rum, 500, 300, 1.36
Brownie, 100, 60, 0.58
Marshmallow, 300, 200, 0.18
Cracker, 186, 100, 0.34
FudgeSauce, 180, 150, 0.17
Basil, 276, 150, 0.12
Cherry, 141, 80, 0.51
Strawberry, 150, 80, 0.31
Coke, 120, 100, 0.8
Orange, 249, 70, 0.48
Ice, 977, 200, 0.02
Egg, 77, 10, 0.4
Pepsi, 140, 100, 2.00
Chicken, 79, 40, 4.0
Celery, 100, 50, 1.00
Pineapple, 70, 30, 2.00
